1956.62, DDC104905, 1, C:\media\DRSRetrieve\top500\DDC104905.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8064315?width=1024&height=1024, OK
1957.157, 50359, 1, C:\media\DRSRetrieve\top500\50359.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183400?width=1024&height=1024, OK
1957.98, 51735, 1, C:\media\DRSRetrieve\top500\51735.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387813?width=1024&height=1024, OK
1958.193, 75723, 1, C:\media\DRSRetrieve\top500\75723.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17825153?width=1024&height=1024, OK
1958.221, 72892, 1, C:\media\DRSRetrieve\top500\72892.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18482003?width=1024&height=1024, OK
1958.274, 74017, 1, C:\media\DRSRetrieve\top500\74017.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17817552?width=1024&height=1024, OK
1958.292, 50967, 1, C:\media\DRSRetrieve\top500\50967.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17386336?width=1024&height=1024, OK
1958.84, 80900, 1, C:\media\DRSRetrieve\top500\80900.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183921?width=1024&height=1024, OK
1960.117.173, 72212, 1, C:\media\DRSRetrieve\top500\72212.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17810868?width=1024&height=1024, OK
1960.17, DDC101387, 1, C:\media\DRSRetrieve\top500\DDC101387.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18773001?width=1024&height=1024, OK
1960.193, 51541, 1, C:\media\DRSRetrieve\top500\51541.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387664?width=1024&height=1024, OK
1960.342, 81193, 1, C:\media\DRSRetrieve\top500\81193.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183926?width=1024&height=1024, OK
1960.344, 74124, 1, C:\media\DRSRetrieve\top500\74124.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17817652?width=1024&height=1024, OK
1960.736, 43995, 1, C:\media\DRSRetrieve\top500\43995.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20680479?width=1024&height=1024, OK
1961.159, 72995, 1, C:\media\DRSRetrieve\top500\72995.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18482102?width=1024&height=1024, OK
1961.166, 60232, 1, C:\media\DRSRetrieve\top500\60232.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183651?width=1024&height=1024, OK
1961.86, 53510, 1, C:\media\DRSRetrieve\top500\53510.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17388654?width=1024&height=1024, OK
1963.5, DDC112258, 1, C:\media\DRSRetrieve\top500\DDC112258.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/26312238?width=1024&height=1024, OK
1964.146, DDC111705, 1, C:\media\DRSRetrieve\top500\DDC111705.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/23014945?width=1024&height=1024, OK
1964.171, INV181393, 1, C:\media\DRSRetrieve\top500\INV181393.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20437576?width=1024&height=1024, OK
1964.172, DDC109422, 1, C:\media\DRSRetrieve\top500\DDC109422.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/14830597?width=1024&height=1024, OK
1964.44, DDC104089, 1, C:\media\DRSRetrieve\top500\DDC104089.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20380043?width=1024&height=1024, OK
1964.94, DDC105092, 1, C:\media\DRSRetrieve\top500\DDC105092.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/8479047?width=1024&height=1024, OK
1965.28, DDC113782, 1, C:\media\DRSRetrieve\top500\DDC113782.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/42759119?width=1024&height=1024, OK
1965.318, 21476, 1, C:\media\DRSRetrieve\top500\21476.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17328973?width=1024&height=1024, OK
1965.321, 60180, 1, C:\media\DRSRetrieve\top500\60180.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20683155?width=1024&height=1024, OK
1965.403, 41737, 1, C:\media\DRSRetrieve\top500\41737.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182493?width=1024&height=1024, OK
1965.421, 49123, 1, C:\media\DRSRetrieve\top500\49123.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20682382?width=1024&height=1024, OK
1965.554, 50868, 1, C:\media\DRSRetrieve\top500\50868.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183425?width=1024&height=1024, OK
